Namespace(exp_name='LPR++', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 1, loss: 2.051310, train acc: 0.558943, train avg acc: 0.390351
Test 1, loss: 1.495259, test acc: 0.750000, test avg acc: 0.639831
Train 2, loss: 1.555286, train acc: 0.728963, train avg acc: 0.597679
Test 2, loss: 1.290271, test acc: 0.824554, test avg acc: 0.705785
Train 3, loss: 1.433258, train acc: 0.777744, train avg acc: 0.669591
Test 3, loss: 1.205616, test acc: 0.848865, test avg acc: 0.754012
Train 4, loss: 1.339356, train acc: 0.811585, train avg acc: 0.723573
Test 4, loss: 1.162679, test acc: 0.865478, test avg acc: 0.772430
Train 5, loss: 1.275326, train acc: 0.833841, train avg acc: 0.751012
Test 5, loss: 1.143212, test acc: 0.869935, test avg acc: 0.811366
Train 6, loss: 1.246220, train acc: 0.841057, train avg acc: 0.758864
Test 6, loss: 1.101606, test acc: 0.891815, test avg acc: 0.840256
Train 7, loss: 1.214112, train acc: 0.850000, train avg acc: 0.774871
Test 7, loss: 1.119814, test acc: 0.868314, test avg acc: 0.827703
Train 8, loss: 1.184264, train acc: 0.862500, train avg acc: 0.796448
Test 8, loss: 1.150853, test acc: 0.855348, test avg acc: 0.803808
Train 9, loss: 1.167648, train acc: 0.867785, train avg acc: 0.800624
Test 9, loss: 1.083011, test acc: 0.888979, test avg acc: 0.825674
Train 10, loss: 1.151349, train acc: 0.875407, train avg acc: 0.813875
Test 10, loss: 1.082053, test acc: 0.886953, test avg acc: 0.826762
Train 11, loss: 1.131769, train acc: 0.880589, train avg acc: 0.820651
Test 11, loss: 1.055159, test acc: 0.889384, test avg acc: 0.833012
Train 12, loss: 1.127719, train acc: 0.883638, train avg acc: 0.823171
Test 12, loss: 1.046686, test acc: 0.893841, test avg acc: 0.837169
Train 13, loss: 1.102523, train acc: 0.891667, train avg acc: 0.835678
Test 13, loss: 1.056609, test acc: 0.896272, test avg acc: 0.850169
Train 14, loss: 1.101604, train acc: 0.890549, train avg acc: 0.837730
Test 14, loss: 1.026830, test acc: 0.906807, test avg acc: 0.860000
Train 15, loss: 1.092638, train acc: 0.891768, train avg acc: 0.839531
Test 15, loss: 1.041805, test acc: 0.897083, test avg acc: 0.848645
Train 16, loss: 1.087039, train acc: 0.897866, train avg acc: 0.847810
