Namespace(exp_name='exp', model='GTNet', dataset='modelnet40', batch_size=4, test_batch_size=8, epochs=250, use_sgd=True, lr=1e-05, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 1, loss: 3.119023, train acc: 0.275508, train avg acc: 0.132386
Test 1, loss: 2.614619, test acc: 0.395462, test avg acc: 0.270587
Train 2, loss: 2.691741, train acc: 0.429472, train avg acc: 0.244292
Test 2, loss: 2.273010, test acc: 0.595624, test avg acc: 0.438099
Train 3, loss: 2.510014, train acc: 0.502744, train avg acc: 0.320476
Test 3, loss: 2.141259, test acc: 0.693274, test avg acc: 0.542029
Train 4, loss: 2.379354, train acc: 0.560366, train avg acc: 0.376874
Test 4, loss: 2.075351, test acc: 0.673420, test avg acc: 0.519035
Train 5, loss: 2.286392, train acc: 0.603049, train avg acc: 0.422162
Test 5, loss: 1.987223, test acc: 0.749190, test avg acc: 0.638831
Train 6, loss: 2.213203, train acc: 0.636484, train avg acc: 0.467153
Test 6, loss: 1.955307, test acc: 0.756078, test avg acc: 0.608703
Train 7, loss: 2.165605, train acc: 0.657520, train avg acc: 0.493150
Test 7, loss: 1.834714, test acc: 0.787277, test avg acc: 0.663012
Train 8, loss: 2.106479, train acc: 0.682825, train avg acc: 0.527544
Test 8, loss: 1.782366, test acc: 0.819287, test avg acc: 0.685610
Train 9, loss: 2.053201, train acc: 0.702642, train avg acc: 0.552090
Test 9, loss: 1.760027, test acc: 0.833063, test avg acc: 0.681890
Train 10, loss: 2.036227, train acc: 0.722561, train avg acc: 0.581656
Test 10, loss: 1.748300, test acc: 0.837520, test avg acc: 0.730395
Train 11, loss: 1.986605, train acc: 0.740650, train avg acc: 0.609633
Test 11, loss: 1.725563, test acc: 0.848865, test avg acc: 0.745221
Train 12, loss: 1.967713, train acc: 0.748882, train avg acc: 0.621615
Test 12, loss: 1.716740, test acc: 0.839141, test avg acc: 0.740616
Train 13, loss: 1.948795, train acc: 0.758232, train avg acc: 0.638421
Test 13, loss: 1.694468, test acc: 0.862642, test avg acc: 0.774610
Train 14, loss: 1.927935, train acc: 0.770224, train avg acc: 0.656268
Test 14, loss: 1.669221, test acc: 0.869530, test avg acc: 0.782442
Train 15, loss: 1.897215, train acc: 0.782520, train avg acc: 0.674993
Test 15, loss: 1.683853, test acc: 0.865478, test avg acc: 0.791640
Train 16, loss: 1.888513, train acc: 0.787602, train avg acc: 0.677894
Test 16, loss: 1.669889, test acc: 0.867909, test avg acc: 0.784047
Train 17, loss: 1.866350, train acc: 0.795833, train avg acc: 0.690137
Test 17, loss: 1.642787, test acc: 0.876823, test avg acc: 0.798221
Train 18, loss: 1.851107, train acc: 0.801728, train avg acc: 0.699505
Test 18, loss: 1.640880, test acc: 0.880875, test avg acc: 0.804797
Train 19, loss: 1.862601, train acc: 0.796748, train avg acc: 0.697908
Test 19, loss: 1.659770, test acc: 0.876013, test avg acc: 0.807308
Train 20, loss: 1.840415, train acc: 0.805081, train avg acc: 0.706745
Test 20, loss: 1.656774, test acc: 0.867099, test avg acc: 0.782064
Train 21, loss: 1.825795, train acc: 0.816463, train avg acc: 0.726360
Test 21, loss: 1.622654, test acc: 0.885332, test avg acc: 0.830977
Train 22, loss: 1.821221, train acc: 0.813415, train avg acc: 0.723114
Test 22, loss: 1.633919, test acc: 0.880875, test avg acc: 0.812174
Train 23, loss: 1.816248, train acc: 0.817988, train avg acc: 0.726814
Test 23, loss: 1.607518, test acc: 0.885332, test avg acc: 0.821436
Train 24, loss: 1.796809, train acc: 0.829776, train avg acc: 0.743116
Test 24, loss: 1.625986, test acc: 0.888574, test avg acc: 0.825558
Train 25, loss: 1.794479, train acc: 0.827337, train avg acc: 0.743378
Test 25, loss: 1.636762, test acc: 0.880065, test avg acc: 0.828233
Train 26, loss: 1.800025, train acc: 0.825813, train avg acc: 0.742425
Test 26, loss: 1.606264, test acc: 0.890194, test avg acc: 0.828843
Train 27, loss: 1.778466, train acc: 0.834654, train avg acc: 0.754983
Test 27, loss: 1.610133, test acc: 0.896272, test avg acc: 0.832547
Train 28, loss: 1.776699, train acc: 0.834959, train avg acc: 0.754491
Test 28, loss: 1.608224, test acc: 0.890600, test avg acc: 0.830890
Train 29, loss: 1.753763, train acc: 0.845935, train avg acc: 0.770475
Test 29, loss: 1.602436, test acc: 0.893031, test avg acc: 0.838709
Train 30, loss: 1.745644, train acc: 0.848882, train avg acc: 0.772194
Test 30, loss: 1.602578, test acc: 0.891005, test avg acc: 0.831762
Train 31, loss: 1.747830, train acc: 0.843801, train avg acc: 0.766538
Test 31, loss: 1.594008, test acc: 0.896272, test avg acc: 0.841047
Train 32, loss: 1.743665, train acc: 0.852134, train avg acc: 0.780137
Test 32, loss: 1.597879, test acc: 0.893841, test avg acc: 0.831884
Train 33, loss: 1.735012, train acc: 0.850813, train avg acc: 0.778847
Test 33, loss: 1.597880, test acc: 0.902755, test avg acc: 0.846913
Train 34, loss: 1.729526, train acc: 0.856809, train avg acc: 0.785348
Test 34, loss: 1.583354, test acc: 0.897488, test avg acc: 0.839640
Train 35, loss: 1.724354, train acc: 0.860976, train avg acc: 0.794037
Test 35, loss: 1.589023, test acc: 0.896272, test avg acc: 0.837634
Train 36, loss: 1.723793, train acc: 0.858130, train avg acc: 0.788318
Test 36, loss: 1.592934, test acc: 0.882091, test avg acc: 0.827936
Train 37, loss: 1.716854, train acc: 0.860976, train avg acc: 0.789739
Test 37, loss: 1.592151, test acc: 0.887763, test avg acc: 0.832942
Train 38, loss: 1.717344, train acc: 0.864431, train avg acc: 0.800902
Test 38, loss: 1.568430, test acc: 0.905592, test avg acc: 0.853797
Train 39, loss: 1.703857, train acc: 0.865752, train avg acc: 0.800491
Test 39, loss: 1.585801, test acc: 0.901135, test avg acc: 0.845581
Train 40, loss: 1.707366, train acc: 0.866362, train avg acc: 0.801887
Test 40, loss: 1.579760, test acc: 0.899109, test avg acc: 0.847750
Train 41, loss: 1.710152, train acc: 0.861280, train avg acc: 0.795470
Test 41, loss: 1.567432, test acc: 0.895057, test avg acc: 0.831215
Train 42, loss: 1.698648, train acc: 0.867683, train avg acc: 0.800525
Test 42, loss: 1.574233, test acc: 0.894652, test avg acc: 0.838517
Train 43, loss: 1.694205, train acc: 0.871443, train avg acc: 0.805277
Test 43, loss: 1.576514, test acc: 0.896272, test avg acc: 0.843762
Train 44, loss: 1.699844, train acc: 0.870224, train avg acc: 0.808985
Test 44, loss: 1.583528, test acc: 0.894246, test avg acc: 0.850872
Train 45, loss: 1.694070, train acc: 0.872967, train avg acc: 0.811965
Test 45, loss: 1.581473, test acc: 0.895057, test avg acc: 0.846878
Train 46, loss: 1.675374, train acc: 0.879167, train avg acc: 0.825357
Test 46, loss: 1.574141, test acc: 0.903971, test avg acc: 0.851250
Train 47, loss: 1.686406, train acc: 0.877134, train avg acc: 0.821697
Test 47, loss: 1.582305, test acc: 0.899919, test avg acc: 0.852541
Train 48, loss: 1.685570, train acc: 0.877642, train avg acc: 0.817482
Test 48, loss: 1.565787, test acc: 0.908023, test avg acc: 0.857076
Train 49, loss: 1.677056, train acc: 0.876321, train avg acc: 0.820871
Test 49, loss: 1.569787, test acc: 0.900729, test avg acc: 0.847628
Train 50, loss: 1.673108, train acc: 0.881199, train avg acc: 0.821933
Test 50, loss: 1.584332, test acc: 0.904376, test avg acc: 0.859087
Train 51, loss: 1.669324, train acc: 0.882114, train avg acc: 0.825005
Test 51, loss: 1.551181, test acc: 0.908428, test avg acc: 0.861215
Train 52, loss: 1.676304, train acc: 0.882724, train avg acc: 0.825373
Test 52, loss: 1.558758, test acc: 0.909643, test avg acc: 0.866081
Train 53, loss: 1.668698, train acc: 0.877337, train avg acc: 0.820632
Test 53, loss: 1.574360, test acc: 0.905592, test avg acc: 0.861599
Train 54, loss: 1.661602, train acc: 0.883333, train avg acc: 0.829326
Test 54, loss: 1.548880, test acc: 0.905997, test avg acc: 0.852797
Train 55, loss: 1.659166, train acc: 0.885976, train avg acc: 0.830716
Test 55, loss: 1.554335, test acc: 0.903160, test avg acc: 0.854884
Train 56, loss: 1.660866, train acc: 0.885467, train avg acc: 0.832863
Test 56, loss: 1.566899, test acc: 0.908428, test avg acc: 0.862453
Train 57, loss: 1.651789, train acc: 0.887500, train avg acc: 0.835040
Test 57, loss: 1.541216, test acc: 0.908833, test avg acc: 0.868471
Train 58, loss: 1.648875, train acc: 0.887500, train avg acc: 0.837050
Test 58, loss: 1.555946, test acc: 0.903971, test avg acc: 0.859797
Train 59, loss: 1.652438, train acc: 0.886484, train avg acc: 0.833141
Test 59, loss: 1.554117, test acc: 0.901135, test avg acc: 0.860436
Train 60, loss: 1.653463, train acc: 0.884756, train avg acc: 0.827267
Test 60, loss: 1.555580, test acc: 0.908428, test avg acc: 0.863122
Train 61, loss: 1.662427, train acc: 0.885163, train avg acc: 0.827504
Test 61, loss: 1.549454, test acc: 0.910454, test avg acc: 0.859331
Train 62, loss: 1.654981, train acc: 0.889126, train avg acc: 0.837429
Test 62, loss: 1.557664, test acc: 0.910049, test avg acc: 0.864081
Train 63, loss: 1.640361, train acc: 0.891870, train avg acc: 0.840800
Test 63, loss: 1.556311, test acc: 0.909643, test avg acc: 0.863291
Train 64, loss: 1.635755, train acc: 0.895325, train avg acc: 0.846438
Test 64, loss: 1.565882, test acc: 0.912075, test avg acc: 0.871674
Train 65, loss: 1.641976, train acc: 0.893191, train avg acc: 0.842310
Test 65, loss: 1.561931, test acc: 0.910859, test avg acc: 0.859750
Train 66, loss: 1.636278, train acc: 0.893496, train avg acc: 0.844660
Test 66, loss: 1.566393, test acc: 0.902755, test avg acc: 0.854541
Train 67, loss: 1.631656, train acc: 0.897154, train avg acc: 0.848247
Test 67, loss: 1.548936, test acc: 0.910049, test avg acc: 0.866669
Train 68, loss: 1.634576, train acc: 0.893394, train avg acc: 0.844339
Test 68, loss: 1.552771, test acc: 0.913290, test avg acc: 0.868372
Train 69, loss: 1.624517, train acc: 0.898984, train avg acc: 0.851958
Test 69, loss: 1.550460, test acc: 0.909643, test avg acc: 0.886878
Train 70, loss: 1.631880, train acc: 0.896646, train avg acc: 0.850800
Test 70, loss: 1.533350, test acc: 0.910454, test avg acc: 0.864959
Train 71, loss: 1.623009, train acc: 0.900813, train avg acc: 0.853198
Test 71, loss: 1.553796, test acc: 0.905997, test avg acc: 0.863419
Train 72, loss: 1.618891, train acc: 0.900508, train avg acc: 0.853828
Test 72, loss: 1.533260, test acc: 0.906402, test avg acc: 0.862174
Train 73, loss: 1.627939, train acc: 0.895427, train avg acc: 0.845070
Test 73, loss: 1.546222, test acc: 0.901540, test avg acc: 0.853552
Train 74, loss: 1.611896, train acc: 0.906707, train avg acc: 0.858708
Test 74, loss: 1.528197, test acc: 0.913290, test avg acc: 0.873081
Train 75, loss: 1.611790, train acc: 0.904675, train avg acc: 0.862750
Test 75, loss: 1.559361, test acc: 0.908833, test avg acc: 0.857698
