Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Train 1, loss: 2.018994, train acc: 0.576321, train avg acc: 0.401880
Test 1, loss: 1.478068, test acc: 0.745948, test avg acc: 0.605849
Train 2, loss: 1.542864, train acc: 0.730691, train avg acc: 0.593447
Test 2, loss: 1.387827, test acc: 0.784441, test avg acc: 0.707959
Train 3, loss: 1.402309, train acc: 0.784756, train avg acc: 0.681465
Test 3, loss: 1.220496, test acc: 0.845219, test avg acc: 0.778390
Train 4, loss: 1.314973, train acc: 0.814126, train avg acc: 0.720214
Test 4, loss: 1.190333, test acc: 0.835900, test avg acc: 0.783471
Train 5, loss: 1.258715, train acc: 0.839533, train avg acc: 0.757026
Test 5, loss: 1.141023, test acc: 0.857780, test avg acc: 0.813215
Train 6, loss: 1.220897, train acc: 0.850711, train avg acc: 0.776636
Test 6, loss: 1.129130, test acc: 0.872366, test avg acc: 0.811256
Train 7, loss: 1.201484, train acc: 0.857114, train avg acc: 0.786632
Test 7, loss: 1.086194, test acc: 0.879254, test avg acc: 0.821884
Train 8, loss: 1.162032, train acc: 0.871951, train avg acc: 0.807308
Test 8, loss: 1.087172, test acc: 0.882901, test avg acc: 0.821919
Train 9, loss: 1.141731, train acc: 0.875305, train avg acc: 0.813767
Test 9, loss: 1.074977, test acc: 0.885737, test avg acc: 0.848965
Train 10, loss: 1.129712, train acc: 0.879675, train avg acc: 0.822092
Test 10, loss: 1.054031, test acc: 0.891410, test avg acc: 0.852343
Train 11, loss: 1.108499, train acc: 0.889736, train avg acc: 0.835700
Test 11, loss: 1.043646, test acc: 0.897083, test avg acc: 0.855099
Train 12, loss: 1.102842, train acc: 0.889634, train avg acc: 0.835363
Test 12, loss: 1.062726, test acc: 0.882496, test avg acc: 0.850180
Train 13, loss: 1.086205, train acc: 0.895630, train avg acc: 0.843068
Test 13, loss: 1.044928, test acc: 0.892220, test avg acc: 0.853558
Train 14, loss: 1.076791, train acc: 0.899085, train avg acc: 0.846192
Test 14, loss: 1.027617, test acc: 0.900324, test avg acc: 0.859512
Train 15, loss: 1.066062, train acc: 0.905793, train avg acc: 0.857463
Test 15, loss: 1.016489, test acc: 0.903160, test avg acc: 0.871669
Train 16, loss: 1.054404, train acc: 0.904573, train avg acc: 0.855451
Test 16, loss: 1.058275, test acc: 0.884927, test avg acc: 0.843297
Train 17, loss: 1.047341, train acc: 0.908232, train avg acc: 0.860522
Test 17, loss: 1.016007, test acc: 0.905997, test avg acc: 0.879500
Train 18, loss: 1.047867, train acc: 0.910061, train avg acc: 0.865200
Test 18, loss: 1.007548, test acc: 0.906402, test avg acc: 0.864047
Train 19, loss: 1.034590, train acc: 0.912500, train avg acc: 0.870047
Test 19, loss: 0.991605, test acc: 0.909643, test avg acc: 0.871837
Train 20, loss: 1.022095, train acc: 0.914329, train avg acc: 0.872267
Test 20, loss: 1.003883, test acc: 0.907212, test avg acc: 0.883471
Train 21, loss: 0.995812, train acc: 0.928659, train avg acc: 0.891611
Test 21, loss: 0.976509, test acc: 0.914506, test avg acc: 0.876419
Train 22, loss: 0.986306, train acc: 0.928455, train avg acc: 0.890305
Test 22, loss: 0.964634, test acc: 0.917747, test avg acc: 0.887837
Train 23, loss: 0.974669, train acc: 0.933740, train avg acc: 0.902043
Test 23, loss: 0.970547, test acc: 0.916532, test avg acc: 0.881843
Train 24, loss: 0.973835, train acc: 0.934350, train avg acc: 0.900742
Test 24, loss: 0.975410, test acc: 0.910454, test avg acc: 0.876087
Train 25, loss: 0.967173, train acc: 0.936687, train avg acc: 0.905536
Test 25, loss: 0.961752, test acc: 0.917342, test avg acc: 0.888884
Train 26, loss: 0.965948, train acc: 0.936789, train avg acc: 0.905581
Test 26, loss: 0.979583, test acc: 0.912075, test avg acc: 0.883128
Train 27, loss: 0.963247, train acc: 0.937500, train avg acc: 0.906397
Test 27, loss: 0.959533, test acc: 0.918558, test avg acc: 0.891500
Train 28, loss: 0.958434, train acc: 0.939837, train avg acc: 0.909282
Test 28, loss: 0.971031, test acc: 0.912885, test avg acc: 0.879797
Train 29, loss: 0.951598, train acc: 0.942683, train avg acc: 0.913802
Test 29, loss: 0.965598, test acc: 0.920583, test avg acc: 0.885791
Train 30, loss: 0.959490, train acc: 0.938110, train avg acc: 0.906174
Test 30, loss: 0.955602, test acc: 0.920989, test avg acc: 0.888041
Train 31, loss: 0.952274, train acc: 0.941972, train avg acc: 0.914111
Test 31, loss: 0.961333, test acc: 0.916126, test avg acc: 0.884424
Train 32, loss: 0.944862, train acc: 0.943089, train avg acc: 0.914221
Test 32, loss: 0.959383, test acc: 0.916126, test avg acc: 0.883041
Train 33, loss: 0.942938, train acc: 0.942988, train avg acc: 0.915084
Test 33, loss: 0.962473, test acc: 0.916126, test avg acc: 0.886669
Train 34, loss: 0.942367, train acc: 0.943496, train avg acc: 0.917289
Test 34, loss: 0.967092, test acc: 0.915316, test avg acc: 0.870209
Train 35, loss: 0.936054, train acc: 0.945833, train avg acc: 0.918772
Test 35, loss: 0.960933, test acc: 0.912075, test avg acc: 0.878087
Train 36, loss: 0.943105, train acc: 0.942785, train avg acc: 0.914796
Test 36, loss: 0.954011, test acc: 0.919368, test avg acc: 0.884797
Train 37, loss: 0.938340, train acc: 0.945630, train avg acc: 0.918741
Test 37, loss: 0.965549, test acc: 0.916126, test avg acc: 0.883628
Train 38, loss: 0.933932, train acc: 0.946138, train avg acc: 0.920300
Test 38, loss: 0.965206, test acc: 0.911264, test avg acc: 0.882337
Train 39, loss: 0.929716, train acc: 0.947459, train avg acc: 0.919649
Test 39, loss: 0.958350, test acc: 0.918558, test avg acc: 0.882581
Train 40, loss: 0.931557, train acc: 0.946646, train avg acc: 0.921583
Test 40, loss: 0.973224, test acc: 0.916532, test avg acc: 0.884209
Train 41, loss: 0.915711, train acc: 0.954065, train avg acc: 0.932265
Test 41, loss: 0.959313, test acc: 0.914911, test avg acc: 0.882285
Train 42, loss: 0.911172, train acc: 0.956098, train avg acc: 0.933553
Test 42, loss: 0.950687, test acc: 0.917747, test avg acc: 0.880959
Train 43, loss: 0.907405, train acc: 0.956098, train avg acc: 0.932776
Test 43, loss: 0.947922, test acc: 0.923015, test avg acc: 0.894000
Train 44, loss: 0.906229, train acc: 0.957215, train avg acc: 0.936378
Test 44, loss: 0.952916, test acc: 0.918152, test avg acc: 0.885087
Train 45, loss: 0.905480, train acc: 0.956707, train avg acc: 0.937125
Test 45, loss: 0.943253, test acc: 0.920989, test avg acc: 0.890122
Train 46, loss: 0.895413, train acc: 0.961077, train avg acc: 0.942085
Test 46, loss: 0.945449, test acc: 0.922204, test avg acc: 0.890831
Train 47, loss: 0.900797, train acc: 0.958537, train avg acc: 0.938557
Test 47, loss: 0.958088, test acc: 0.912480, test avg acc: 0.876669
Train 48, loss: 0.901312, train acc: 0.957012, train avg acc: 0.935967
Test 48, loss: 0.967076, test acc: 0.914100, test avg acc: 0.883669
Train 49, loss: 0.896548, train acc: 0.957724, train avg acc: 0.937772
Test 49, loss: 0.958932, test acc: 0.917747, test avg acc: 0.892122
Train 50, loss: 0.899091, train acc: 0.958130, train avg acc: 0.938861
Test 50, loss: 0.956416, test acc: 0.915316, test avg acc: 0.881047
Train 51, loss: 0.897680, train acc: 0.957927, train avg acc: 0.937477
Test 51, loss: 0.950799, test acc: 0.916126, test avg acc: 0.889547
Train 52, loss: 0.890763, train acc: 0.962602, train avg acc: 0.945345
Test 52, loss: 0.949018, test acc: 0.914100, test avg acc: 0.881297
Train 53, loss: 0.895783, train acc: 0.960061, train avg acc: 0.939063
Test 53, loss: 0.950664, test acc: 0.918558, test avg acc: 0.890581
Train 54, loss: 0.895006, train acc: 0.959654, train avg acc: 0.939403
Test 54, loss: 0.960177, test acc: 0.915721, test avg acc: 0.882622
Train 55, loss: 0.892792, train acc: 0.960976, train avg acc: 0.940085
Test 55, loss: 0.961161, test acc: 0.914506, test avg acc: 0.885913
Train 56, loss: 0.889656, train acc: 0.961179, train avg acc: 0.942580
Test 56, loss: 0.946331, test acc: 0.919368, test avg acc: 0.886081
Train 57, loss: 0.891289, train acc: 0.961179, train avg acc: 0.942590
Test 57, loss: 0.957240, test acc: 0.917747, test avg acc: 0.892122
Train 58, loss: 0.890920, train acc: 0.960874, train avg acc: 0.942001
Test 58, loss: 0.958925, test acc: 0.916126, test avg acc: 0.892959
Train 59, loss: 0.888533, train acc: 0.962297, train avg acc: 0.942634
Test 59, loss: 0.943886, test acc: 0.920583, test avg acc: 0.885256
Train 60, loss: 0.890897, train acc: 0.960569, train avg acc: 0.940742
Test 60, loss: 0.951055, test acc: 0.913290, test avg acc: 0.882087
Train 61, loss: 0.883036, train acc: 0.965549, train avg acc: 0.948870
Test 61, loss: 0.946142, test acc: 0.916532, test avg acc: 0.888169
Train 62, loss: 0.876522, train acc: 0.966463, train avg acc: 0.950884
Test 62, loss: 0.942900, test acc: 0.918963, test avg acc: 0.884709
Train 63, loss: 0.873490, train acc: 0.968598, train avg acc: 0.952028
Test 63, loss: 0.944270, test acc: 0.920178, test avg acc: 0.888372
Train 64, loss: 0.874320, train acc: 0.968598, train avg acc: 0.952093
Test 64, loss: 0.948436, test acc: 0.918558, test avg acc: 0.889378
Train 65, loss: 0.875402, train acc: 0.967683, train avg acc: 0.953480
Test 65, loss: 0.941097, test acc: 0.919773, test avg acc: 0.886169
Train 66, loss: 0.871618, train acc: 0.969817, train avg acc: 0.955159
Test 66, loss: 0.946002, test acc: 0.918558, test avg acc: 0.884663
Train 67, loss: 0.870503, train acc: 0.967988, train avg acc: 0.951712
Test 67, loss: 0.951786, test acc: 0.916532, test avg acc: 0.885494
Train 68, loss: 0.875735, train acc: 0.965650, train avg acc: 0.947699
Test 68, loss: 0.946198, test acc: 0.917342, test avg acc: 0.889750
Train 69, loss: 0.874286, train acc: 0.965346, train avg acc: 0.948170
Test 69, loss: 0.940135, test acc: 0.916532, test avg acc: 0.885250
Train 70, loss: 0.875666, train acc: 0.966057, train avg acc: 0.950337
Test 70, loss: 0.950452, test acc: 0.912885, test avg acc: 0.877878
Train 71, loss: 0.868166, train acc: 0.969411, train avg acc: 0.955467
Test 71, loss: 0.951116, test acc: 0.916937, test avg acc: 0.886331
Train 72, loss: 0.870417, train acc: 0.969817, train avg acc: 0.954107
Test 72, loss: 0.941956, test acc: 0.916937, test avg acc: 0.887756
Train 73, loss: 0.872035, train acc: 0.967988, train avg acc: 0.953037
Test 73, loss: 0.940397, test acc: 0.918558, test avg acc: 0.887250
Train 74, loss: 0.867367, train acc: 0.970528, train avg acc: 0.956391
Test 74, loss: 0.941626, test acc: 0.914506, test avg acc: 0.878547
Train 75, loss: 0.870630, train acc: 0.969207, train avg acc: 0.954171
Test 75, loss: 0.942914, test acc: 0.918963, test avg acc: 0.888669
Train 76, loss: 0.865000, train acc: 0.971037, train avg acc: 0.956807
Test 76, loss: 0.939539, test acc: 0.919368, test avg acc: 0.889041
Train 77, loss: 0.867253, train acc: 0.969715, train avg acc: 0.954812
Test 77, loss: 0.943784, test acc: 0.918558, test avg acc: 0.883500
Train 78, loss: 0.868849, train acc: 0.969512, train avg acc: 0.953207
Test 78, loss: 0.948240, test acc: 0.916126, test avg acc: 0.885378
Train 79, loss: 0.867137, train acc: 0.968496, train avg acc: 0.952875
