Namespace(exp_name='no_t-net_guonihe', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 1, loss: 1.917965, train acc: 0.611890, train avg acc: 0.446733
Test 1, loss: 1.676471, test acc: 0.653160, test avg acc: 0.577221
Train 2, loss: 1.503730, train acc: 0.757114, train avg acc: 0.642067
Test 2, loss: 1.309473, test acc: 0.811588, test avg acc: 0.722320
Train 3, loss: 1.363864, train acc: 0.803354, train avg acc: 0.706973
Test 3, loss: 1.202414, test acc: 0.852512, test avg acc: 0.795366
Train 4, loss: 1.292384, train acc: 0.826423, train avg acc: 0.740804
Test 4, loss: 1.210768, test acc: 0.844003, test avg acc: 0.791663
Train 5, loss: 1.243752, train acc: 0.846341, train avg acc: 0.769013
Test 5, loss: 1.123574, test acc: 0.870746, test avg acc: 0.831855
Train 6, loss: 1.197440, train acc: 0.860569, train avg acc: 0.790708
Test 6, loss: 1.135823, test acc: 0.866694, test avg acc: 0.813727
Train 7, loss: 1.171283, train acc: 0.869106, train avg acc: 0.803752
Test 7, loss: 1.090747, test acc: 0.886548, test avg acc: 0.840837
Train 8, loss: 1.143562, train acc: 0.879675, train avg acc: 0.819343
Test 8, loss: 1.051566, test acc: 0.896677, test avg acc: 0.842459
Train 9, loss: 1.124483, train acc: 0.886382, train avg acc: 0.830397
Test 9, loss: 1.054873, test acc: 0.891410, test avg acc: 0.832209
Train 10, loss: 1.107946, train acc: 0.892683, train avg acc: 0.841302
Test 10, loss: 1.106983, test acc: 0.869125, test avg acc: 0.839593
Train 11, loss: 1.083386, train acc: 0.898272, train avg acc: 0.847420
Test 11, loss: 1.030703, test acc: 0.904376, test avg acc: 0.857041
Train 12, loss: 1.077068, train acc: 0.903252, train avg acc: 0.854682
Test 12, loss: 1.040587, test acc: 0.897893, test avg acc: 0.861884
Train 13, loss: 1.063033, train acc: 0.906402, train avg acc: 0.858491
Test 13, loss: 1.012736, test acc: 0.908023, test avg acc: 0.865715
Train 14, loss: 1.053509, train acc: 0.909654, train avg acc: 0.866115
Test 14, loss: 1.011595, test acc: 0.910049, test avg acc: 0.863500
Train 15, loss: 1.047456, train acc: 0.913110, train avg acc: 0.867501
Test 15, loss: 1.026617, test acc: 0.899919, test avg acc: 0.868814
