Namespace(exp_name='part1', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=200, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 1, loss: 1.276782, train acc: 0.831591, train avg acc: 0.417699, train iou: 0.679074
Test 1, loss: 1.038008, test acc: 0.882714, test avg acc: 0.567934, test iou: 0.737715
Train 2, loss: 1.014853, train acc: 0.903913, train avg acc: 0.590458, train iou: 0.754947
Test 2, loss: 1.005013, test acc: 0.896905, test avg acc: 0.612913, test iou: 0.758168
Train 3, loss: 0.979938, train acc: 0.912126, train avg acc: 0.623548, train iou: 0.771354
Test 3, loss: 0.983547, test acc: 0.903942, test avg acc: 0.627369, test iou: 0.769203
Train 4, loss: 0.961454, train acc: 0.917045, train avg acc: 0.643390, train iou: 0.781367
Test 4, loss: 0.955930, test acc: 0.911344, test avg acc: 0.662768, test iou: 0.779554
Train 5, loss: 0.949667, train acc: 0.919865, train avg acc: 0.658792, train iou: 0.787637
Test 5, loss: 0.950258, test acc: 0.912027, test avg acc: 0.658467, test iou: 0.782245
Train 6, loss: 0.938686, train acc: 0.923203, train avg acc: 0.672702, train iou: 0.794165
Test 6, loss: 0.938756, test acc: 0.915967, test avg acc: 0.661890, test iou: 0.790857
Train 7, loss: 0.932107, train acc: 0.924534, train avg acc: 0.682951, train iou: 0.799718
Test 7, loss: 0.922901, test acc: 0.922107, test avg acc: 0.701881, test iou: 0.803271
Train 8, loss: 0.923996, train acc: 0.927210, train avg acc: 0.697847, train iou: 0.805099
Test 8, loss: 0.928866, test acc: 0.918891, test avg acc: 0.679820, test iou: 0.797730
Train 9, loss: 0.920696, train acc: 0.928413, train avg acc: 0.706219, train iou: 0.807937
Test 9, loss: 0.925688, test acc: 0.918907, test avg acc: 0.695549, test iou: 0.796044
Train 10, loss: 0.916385, train acc: 0.929408, train avg acc: 0.710623, train iou: 0.810340
Test 10, loss: 0.917607, test acc: 0.922022, test avg acc: 0.706856, test iou: 0.804710
Train 11, loss: 0.912256, train acc: 0.930670, train avg acc: 0.718894, train iou: 0.813086
Test 11, loss: 0.906321, test acc: 0.926780, test avg acc: 0.724919, test iou: 0.811452
Train 12, loss: 0.908256, train acc: 0.931879, train avg acc: 0.725270, train iou: 0.816704
Test 12, loss: 0.908475, test acc: 0.924656, test avg acc: 0.729265, test iou: 0.810736
Train 13, loss: 0.905762, train acc: 0.932538, train avg acc: 0.730045, train iou: 0.817841
Test 13, loss: 0.902591, test acc: 0.928350, test avg acc: 0.731912, test iou: 0.817318
Train 14, loss: 0.903566, train acc: 0.932879, train avg acc: 0.731665, train iou: 0.819326
Test 14, loss: 0.899365, test acc: 0.927474, test avg acc: 0.740870, test iou: 0.815312
Train 15, loss: 0.899355, train acc: 0.934614, train avg acc: 0.741264, train iou: 0.821442
Test 15, loss: 0.904572, test acc: 0.925954, test avg acc: 0.734597, test iou: 0.817192
Train 16, loss: 0.899066, train acc: 0.934583, train avg acc: 0.740820, train iou: 0.822698
Test 16, loss: 0.900265, test acc: 0.927342, test avg acc: 0.734103, test iou: 0.816747
Train 17, loss: 0.896093, train acc: 0.935222, train avg acc: 0.744619, train iou: 0.824451
Test 17, loss: 0.901641, test acc: 0.927312, test avg acc: 0.733352, test iou: 0.816594
Train 18, loss: 0.894817, train acc: 0.935521, train avg acc: 0.748229, train iou: 0.825511
Test 18, loss: 0.901257, test acc: 0.926669, test avg acc: 0.743307, test iou: 0.814000
Train 19, loss: 0.890489, train acc: 0.937358, train avg acc: 0.754369, train iou: 0.828793
Test 19, loss: 0.896801, test acc: 0.929535, test avg acc: 0.747195, test iou: 0.820399
Train 20, loss: 0.889998, train acc: 0.937379, train avg acc: 0.755383, train iou: 0.828393
Test 20, loss: 0.893684, test acc: 0.929748, test avg acc: 0.743882, test iou: 0.818513
Train 21, loss: 0.887650, train acc: 0.938237, train avg acc: 0.759920, train iou: 0.830733
Test 21, loss: 0.895311, test acc: 0.928879, test avg acc: 0.753378, test iou: 0.821042
Train 22, loss: 0.886379, train acc: 0.938545, train avg acc: 0.763813, train iou: 0.832275
Test 22, loss: 0.892698, test acc: 0.929551, test avg acc: 0.738639, test iou: 0.818150
